exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;init_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;
sel;accuracy;0;false;false;alteration;13;0.0688622754491018;21;0;1;0;1317;0;164;0;0.0688622754491018;21;0;1;0;1317;0;164;0;0.5;0;0;22;0;0;0;1481;0;0.5;0;0;22;0;0;0;1481;0;
sel;random;0;false;false;alteration;14;0.5902731512325117;774;52;89;4;501;11;68;2;0.5902731512325117;774;52;89;4;501;11;68;2;0.7258494337108594;791;0;128;0;113;0;469;0;0.7258494337108594;791;0;128;0;113;0;469;0;
sel;accuracy;0;false;false;alteration;14;0.5902731512325117;774;52;89;4;501;11;68;2;0.5902731512325117;774;52;89;4;501;11;68;2;0.7495003331112591;752;0;163;4;12;0;557;13;0.7495003331112591;752;0;163;4;12;0;557;13;
sel;random;0;false;false;alteration;15;0.6102598267821453;873;0;62;0;542;0;24;0;0.6102598267821453;873;0;62;0;542;0;24;0;0.7371752165223184;705;34;191;5;0;0;554;12;0.7371752165223184;705;34;191;5;0;0;554;12;
sel;accuracy;0;false;false;alteration;15;0.6102598267821453;873;0;62;0;542;0;24;0;0.6102598267821453;873;0;62;0;542;0;24;0;0.7475016655562958;747;0;188;0;4;0;562;0;0.7475016655562958;747;0;188;0;4;0;562;0;
sel;random;0;false;false;alteration;16;0.6052631578947368;908;0;1;0;592;0;0;0;0.6052631578947368;908;0;1;0;592;0;0;0;0.597601598934044;884;25;0;0;591;1;0;0;0.597601598934044;884;25;0;0;591;1;0;0;
sel;accuracy;0;false;false;alteration;16;0.6052631578947368;908;0;1;0;592;0;0;0;0.6052631578947368;908;0;1;0;592;0;0;0;0.6055962691538974;909;0;0;0;592;0;0;0;0.6055962691538974;909;0;0;0;592;0;0;0;
sel;random;0;false;false;alteration;17;0.6707723035952063;921;0;96;0;408;0;77;0;0.6707723035952063;921;0;96;0;408;0;77;0;0.6780958721704394;1004;3;10;0;469;0;16;0;0.6780958721704394;1004;3;10;0;469;0;16;0;
sel;accuracy;0;false;false;alteration;17;0.6707723035952063;921;0;96;0;408;0;77;0;0.6707723035952063;921;0;96;0;408;0;77;0;0.7569906790945407;779;0;238;0;7;0;478;0;0.7569906790945407;779;0;238;0;7;0;478;0;
sel;random;0;false;false;alteration;18;0.9280479680213192;1310;0;160;0;25;0;6;0;0.9280479680213192;1310;0;160;0;25;0;6;0;0.8817455029980014;1171;0;299;0;25;0;6;0;0.8817455029980014;1171;0;299;0;25;0;6;0;
sel;accuracy;0;false;false;alteration;18;0.9280479680213192;1310;0;160;0;25;0;6;0;0.9280479680213192;1310;0;160;0;25;0;6;0;0.9806795469686875;1470;0;0;0;27;0;4;0;0.9806795469686875;1470;0;0;0;27;0;4;0;
sel;random;0;false;false;alteration;19;0.12858094603597603;139;0;20;0;1254;27;61;0;0.12858094603597603;139;0;20;0;1254;27;61;0;0.22485009993337773;138;20;1;0;964;378;0;0;0.22485009993337773;138;20;1;0;964;378;0;0;
sel;accuracy;0;false;false;alteration;19;0.12858094603597603;139;0;20;0;1254;27;61;0;0.12858094603597603;139;0;20;0;1254;27;61;0;0.7341772151898733;0;0;86;73;0;0;566;776;0.7341772151898733;0;0;86;73;0;0;566;776;
sel;random;0;false;false;alteration;20;0.8454363757495004;1199;0;47;0;162;0;93;0;0.8454363757495004;1199;0;47;0;162;0;93;0;0.8451032644903398;1225;0;21;0;189;0;66;0;0.8451032644903398;1225;0;21;0;189;0;66;0;
sel;accuracy;0;false;false;alteration;20;0.8454363757495004;1199;0;47;0;162;0;93;0;0.8454363757495004;1199;0;47;0;162;0;93;0;0.8507661558960693;1171;0;75;0;118;0;137;0;0.8507661558960693;1171;0;75;0;118;0;137;0;
sel;random;0;false;false;alteration;21;0.41472351765489673;311;623;0;0;567;0;0;0;0.41472351765489673;311;623;0;0;567;0;0;0;0.41472351765489673;311;623;0;0;567;0;0;0;0.41472351765489673;311;623;0;0;567;0;0;0;
sel;accuracy;0;false;false;alteration;21;0.41472351765489673;311;623;0;0;567;0;0;0;0.41472351765489673;311;623;0;0;567;0;0;0;0.6195869420386408;926;8;0;0;567;0;0;0;0.6195869420386408;926;8;0;0;567;0;0;0;
sel;random;0;false;false;alteration;22;0.05622089155023287;3;0;4;0;1337;13;146;0;0.05622089155023287;3;0;4;0;1337;13;146;0;0.354956753160346;2;0;3;2;781;346;24;345;0.354956753160346;2;0;3;2;781;346;24;345;
sel;accuracy;0;false;false;alteration;22;0.05622089155023287;3;0;4;0;1337;13;146;0;0.05622089155023287;3;0;4;0;1337;13;146;0;0.9640718562874251;0;0;3;4;0;0;97;1399;0.9640718562874251;0;0;3;4;0;0;97;1399;
sel;random;0;false;false;alteration;23;0.20086608927381744;225;0;25;0;1123;9;119;0;0.20086608927381744;225;0;25;0;1123;9;119;0;0.5039973351099267;0;0;250;0;0;0;1239;12;0.5039973351099267;0;0;250;0;0;0;1239;12;
sel;accuracy;0;false;false;alteration;23;0.20086608927381744;225;0;25;0;1123;9;119;0;0.20086608927381744;225;0;25;0;1123;9;119;0;0.6705529646902065;0;0;199;51;0;0;688;563;0.6705529646902065;0;0;199;51;0;0;688;563;
sel;random;0;false;false;alteration;24;0.6198402130492676;931;0;0;0;571;0;0;0;0.6198402130492676;931;0;0;0;571;0;0;0;0.5;0;0;931;0;0;0;571;0;0.5;0;0;931;0;0;0;571;0;
sel;accuracy;0;false;false;alteration;24;0.6198402130492676;931;0;0;0;571;0;0;0;0.6198402130492676;931;0;0;0;571;0;0;0;0.7513315579227696;755;0;176;0;0;0;571;0;0.7513315579227696;755;0;176;0;0;0;571;0;
sel;random;0;false;false;alteration;25;0.6075949367088608;912;0;0;0;589;0;0;0;0.6075949367088608;912;0;0;0;589;0;0;0;0.5909393737508328;862;0;50;0;589;0;0;0;0.5909393737508328;862;0;50;0;589;0;0;0;
sel;accuracy;0;false;false;alteration;25;0.6075949367088608;912;0;0;0;589;0;0;0;0.6075949367088608;912;0;0;0;589;0;0;0;0.6075949367088608;912;0;0;0;589;0;0;0;0.6075949367088608;912;0;0;0;589;0;0;0;
sel;random;0;false;false;alteration;26;0.2621585609593604;4;9;3;0;718;591;176;0;0.2621585609593604;4;9;3;0;718;591;176;0;0.4940039973351099;2;11;3;0;20;730;735;0;0.4940039973351099;2;11;3;0;20;730;735;0;
sel;accuracy;0;false;false;alteration;26;0.2621585609593604;4;9;3;0;718;591;176;0;0.2621585609593604;4;9;3;0;718;591;176;0;0.9407061958694204;0;0;3;13;0;0;149;1336;0.9407061958694204;0;0;3;13;0;0;149;1336;
sel;random;0;false;false;alteration;27;0.6212524983344436;875;1;114;0;511;0;0;0;0.6212524983344436;875;1;114;0;511;0;0;0;0.39973351099267157;224;0;752;14;511;0;0;0;0.39973351099267157;224;0;752;14;511;0;0;0;
sel;accuracy;0;false;false;alteration;27;0.6212524983344436;875;1;114;0;511;0;0;0;0.6212524983344436;875;1;114;0;511;0;0;0;0.6818787475016655;721;1;268;0;175;0;336;0;0.6818787475016655;721;1;268;0;175;0;336;0;
sel;random;0;false;false;alteration;28;0.21718854097268486;260;7;17;1;1108;70;38;0;0.21718854097268486;260;7;17;1;1108;70;38;0;0.4893404397068621;4;0;281;0;41;3;1167;5;0.4893404397068621;4;0;281;0;41;3;1167;5;
sel;accuracy;0;false;false;alteration;28;0.21718854097268486;260;7;17;1;1108;70;38;0;0.21718854097268486;260;7;17;1;1108;70;38;0;0.8574283810792804;1;0;252;32;0;0;112;1104;0.8574283810792804;1;0;252;32;0;0;112;1104;
sel;random;0;false;false;alteration;29;0.6022651565622918;904;0;0;0;597;0;0;0;0.6022651565622918;904;0;0;0;597;0;0;0;0.4990006662225183;1;0;899;4;0;0;597;0;0.4990006662225183;1;0;899;4;0;0;597;0;
sel;accuracy;0;false;false;alteration;29;0.6022651565622918;904;0;0;0;597;0;0;0;0.6022651565622918;904;0;0;0;597;0;0;0;0.7395069953364424;719;0;185;0;0;0;597;0;0.7395069953364424;719;0;185;0;0;0;597;0;
sel;random;0;false;false;alteration;30;0.29580279813457694;338;6;40;0;953;21;141;2;0.29580279813457694;338;6;40;0;953;21;141;2;0.46768820786142573;314;3;67;0;413;18;684;2;0.46768820786142573;314;3;67;0;413;18;684;2;
sel;accuracy;0;false;false;alteration;30;0.29580279813457694;338;6;40;0;953;21;141;2;0.29580279813457694;338;6;40;0;953;21;141;2;0.7108594270486343;0;0;156;228;0;0;256;861;0.7108594270486343;0;0;156;228;0;0;256;861;
sel;random;0;false;false;alteration;31;0.6365756162558294;856;2;136;0;446;2;59;0;0.6365756162558294;856;2;136;0;446;2;59;0;0.6612258494337109;987;4;3;0;503;4;0;0;0.6612258494337109;987;4;3;0;503;4;0;0;
sel;accuracy;0;false;false;alteration;31;0.6365756162558294;856;2;136;0;446;2;59;0;0.6365756162558294;856;2;136;0;446;2;59;0;0.6665556295802798;988;4;2;0;488;15;4;0;0.6665556295802798;988;4;2;0;488;15;4;0;
sel;random;0;false;false;alteration;32;0.6200931470392548;932;0;0;0;571;0;0;0;0.6200931470392548;932;0;0;0;571;0;0;0;0.7455089820359282;736;0;196;0;0;0;569;2;0.7455089820359282;736;0;196;0;0;0;569;2;
